name,popularity,winrate,banrate,release,tsr
leesin,34.6,49.1,10.7,1270080000.0,215402231.0
ezreal,32.9,48.8,0.2,1267401600.0,218080631.0
jhin,31.3,50.4,0.5,1451606400.0,33875831.0
thresh,30.4,50.1,0.4,1356998400.0,128483831.0
khazix,29.2,54.2,32.9,1346457600.0,139024631.0
caitlyn,27.6,50.3,1.7,1293840000.0,191642231.0
janna,21.5,52.8,1.1,1251763200.0,233719031.0
varus,21.4,50.9,0.2,1335830400.0,149651831.0
malzahar,18.3,50.8,38.9,1275350400.0,210131831.0
maokai,16.6,50.0,1.6,1296518400.0,188963831.0
corki,16.2,51.5,1.7,1251763200.0,233719031.0
jayce,15.9,52.6,19.9,1341100800.0,144381431.0
zyra,15.7,50.4,2.7,1341100800.0,144381431.0
vayne,15.7,49.4,6.1,1304208000.0,181274231.0
yasuo,15.5,48.4,19.8,1385856000.0,99626231.0
karma,15.3,48.3,0.2,1296518400.0,188963831.0
orianna,15.0,47.9,0.6,1306886400.0,178595831.0
riven,15.0,50.8,3.8,1314835200.0,170647031.0
ashe,14.8,48.0,0.1,1233446400.0,252035831.0
ahri,14.1,51.9,1.0,1322697600.0,162784631.0
missfortune,13.4,48.3,0.2,1283299200.0,202183031.0
fiora,13.4,49.5,4.3,1328054400.0,157427831.0
elise,13.2,48.7,2.4,1349049600.0,136432631.0
ryze,12.4,45.1,13.3,1233446400.0,252035831.0
hecarim,12.2,49.5,24.4,1333238400.0,152243831.0
blitzcrank,12.2,52.8,0.6,1251763200.0,233719031.0
gangplank,12.1,49.3,1.2,1249084800.0,236397431.0
vi,12.0,51.6,9.2,1354320000.0,131162231.0
rengar,11.7,54.3,61.3,1343779200.0,141703031.0
syndra,11.5,50.0,24.1,1346457600.0,139024631.0
nami,10.8,49.9,0.1,1354320000.0,131162231.0
nautilus,10.7,50.0,0.7,1328054400.0,157427831.0
ekko,10.6,50.2,0.7,1430438400.0,55043831.0
lucian,10.6,45.4,0.0,1375315200.0,110167031.0
poppy,10.5,48.3,6.7,1262304000.0,223178231.0
morgana,9.9,50.7,0.6,1233446400.0,252035831.0
