date,popularity,winrate,banrate,name,release,changes
1394525331.352,4.17,50.2,0.34,aatrox,1370044800.0,nochange
1394525331.352,4.46,48.71,0.15,ryze,1233446400.0,nochange
1394525331.352,5.26,50.66,0.1,sejuani,1325376000.0,nochange
1394525331.352,4.52,48.77,0.31,diana,1343779200.0,buff
1394525331.352,4.69,48.37,0.19,shaco,1254355200.0,nochange
1394525331.352,2.09,49.18,0.2,zilean,1238544000.0,nochange
1394525331.352,5.13,46.64,0.58,shen,1267401600.0,nochange
1394525331.352,11.19,49.32,8.45,shyvana,1320105600.0,nochange
1394525331.352,7.32,49.55,0.56,darius,1335830400.0,nochange
1394525331.352,2.7,49.43,0.12,singed,1238544000.0,nochange
1394525331.352,6.29,49.56,0.54,ahri,1322697600.0,nochange
1394525331.352,1.76,47.47,0.06,sion,1233446400.0,nochange
1394525331.352,2.15,50.31,0.07,corki,1251763200.0,nochange
1394525331.352,16.24,53.58,0.76,sivir,1233446400.0,nochange
1394525331.352,1.12,49.32,0.07,skarner,1312156800.0,buff
1394525331.352,3.64,46.77,0.06,chogath,1243814400.0,nochange
1394525331.352,7.7,46.98,14.53,drmundo,1251763200.0,nochange
1394525331.352,6.31,50.78,0.56,jarvaniv,1298937600.0,nochange
1394525331.352,1.34,47.44,0.03,rumble,1301616000.0,nochange
1394525331.352,11.46,47.27,2.46,zed,1351728000.0,nochange
1394525331.352,2.85,52.63,0.04,zyra,1341100800.0,nochange
1394525331.352,6.89,52.2,0.44,fiddlesticks,1233446400.0,nochange
1394525331.352,3.74,48.24,0.02,nocturne,1298937600.0,nochange
1394525331.352,2.98,46.39,0.07,nunu,1233446400.0,nochange
1394525331.352,17.03,48.22,0.16,ezreal,1267401600.0,buff
1394525331.352,5.84,45.7,0.25,olaf,1275350400.0,nochange
1394525331.352,6.21,49.65,0.33,orianna,1306886400.0,nochange
1394525331.352,6.4,52.9,0.03,sona,1283299200.0,nochange
1394525331.352,6.37,48.32,13.12,evelynn,1241136000.0,nochange
1394525331.352,1.86,48.74,0.2,poppy,1262304000.0,nochange
1394525331.352,9.6,49.16,25.09,elise,1349049600.0,nerf
1394525331.352,3.11,50.43,0.04,quinn,1362096000.0,nochange
1394525331.352,3.09,52.03,0.13,rammus,1246406400.0,nochange
1394525331.352,22.65,48.69,13.72,renekton,1293840000.0,nochange
1394525331.352,7.11,48.29,0.48,rengar,1343779200.0,nochange
1394525331.352,12.79,52.83,0.93,draven,1338508800.0,nochange
1394525331.352,15.89,50.0,14.82,pantheon,1264982400.0,nochange
1394525331.352,7.08,50.36,0.24,soraka,1233446400.0,nochange
1394525331.352,1.76,49.75,0.16,cassiopeia,1291161600.0,nochange
