date,popularity,winrate,banrate,name,release,changes
1394525331.352,4.38,51.74,0.44,aatrox,1370044800.0,nochange
1394525331.352,5.29,51.43,0.29,ryze,1233446400.0,nochange
1394525331.352,1.19,46.38,,sejuani,1325376000.0,nochange
1394525331.352,1.4,45.86,0.15,diana,1343779200.0,buff
1394525331.352,3.54,52.3,0.73,shaco,1254355200.0,nochange
1394525331.352,1.71,51.05,0.15,zilean,1238544000.0,nochange
1394525331.352,4.86,46.4,0.15,shen,1267401600.0,nochange
1394525331.352,15.01,47.07,2.48,shyvana,1320105600.0,nochange
1394525331.352,3.34,49.66,,darius,1335830400.0,nochange
1394525331.352,2.67,50.93,,singed,1238544000.0,nochange
1394525331.352,6.96,48.38,0.15,ahri,1322697600.0,nochange
1394525331.352,0.7,51.33,,sion,1233446400.0,nochange
1394525331.352,1.6,50.39,,corki,1251763200.0,nochange
1394525331.352,18.02,52.94,0.44,sivir,1233446400.0,nochange
1394525331.352,0.84,47.34,,skarner,1312156800.0,buff
1394525331.352,1.38,49.46,0.15,chogath,1243814400.0,nochange
1394525331.352,5.47,46.43,1.9,drmundo,1251763200.0,nochange
1394525331.352,8.72,49.96,0.29,jarvaniv,1298937600.0,nochange
1394525331.352,2.43,47.16,,rumble,1301616000.0,nochange
1394525331.352,12.75,46.9,0.87,zed,1351728000.0,nochange
1394525331.352,4.68,51.06,,zyra,1341100800.0,nochange
1394525331.352,6.88,54.01,0.15,fiddlesticks,1233446400.0,nochange
1394525331.352,5.34,46.89,,nocturne,1298937600.0,nochange
1394525331.352,0.84,48.15,0.29,nunu,1233446400.0,nochange
1394525331.352,18.71,46.96,,ezreal,1267401600.0,buff
1394525331.352,3.3,43.35,0.29,olaf,1275350400.0,nochange
1394525331.352,11.73,50.31,0.15,orianna,1306886400.0,nochange
1394525331.352,4.55,50.82,,sona,1283299200.0,nochange
1394525331.352,9.75,48.69,9.77,evelynn,1241136000.0,nochange
1394525331.352,1.14,50.71,0.15,poppy,1262304000.0,nochange
1394525331.352,16.78,51.89,67.35,elise,1349049600.0,nerf
1394525331.352,1.56,51.12,,quinn,1362096000.0,nochange
1394525331.352,1.8,52.21,0.15,rammus,1246406400.0,nochange
1394525331.352,34.25,48.42,9.77,renekton,1293840000.0,nochange
1394525331.352,5.3,49.5,0.58,rengar,1343779200.0,nochange
1394525331.352,18.76,52.33,1.6,draven,1338508800.0,nochange
1394525331.352,24.33,51.19,37.46,pantheon,1264982400.0,nochange
1394525331.352,5.46,49.57,,soraka,1233446400.0,nochange
1394525331.352,1.59,52.39,,cassiopeia,1291161600.0,nochange
1394525331.352,1.81,51.58,,swain,1285891200.0,nochange
1394525331.352,13.51,50.95,82.07,vi,1354320000.0,nerf
1394525331.352,15.13,48.86,0.58,annie,1233446400.0,nochange
1394525331.352,0.73,49.07,,viktor,1322697600.0,nochange
1394525331.352,3.93,45.87,,vladimir,1277942400.0,nochange
1394525331.352,2.29,47.75,,volibear,1320105600.0,nochange
1394525331.352,1.4,47.96,0.15,anivia,1246406400.0,nochange
1394525331.352,3.76,49.72,,warwick,1233446400.0,nochange
1394525331.352,6.36,44.9,2.19,velkoz,1391212800.0,nochange
1394525331.352,2.34,48.38,0.44,xerath,1317427200.0,nochange
1394525331.352,7.89,51.09,0.29,amumu,1243814400.0,nochange
1394525331.352,3.28,49.07,,xinzhao,1277942400.0,nochange
1394525331.352,9.85,45.42,75.66,yasuo,1385856000.0,nochange
1394525331.352,4.77,43.32,,alistar,1233446400.0,nochange
1394525331.352,0.92,50.07,0.15,yorick,1306886400.0,nochange
1394525331.352,2.64,46.54,,zac,1362096000.0,nochange
1394525331.352,5.3,51.35,0.44,akali,1272672000.0,nochange
1394525331.352,15.09,52.47,4.66,ziggs,1328054400.0,nochange
1394525331.352,22.67,53.42,2.19,nidalee,1259625600.0,nochange
1394525331.352,1.9,49.41,0.15,veigar,1246406400.0,nochange
1394525331.352,16.31,47.53,0.29,vayne,1304208000.0,nochange
1394525331.352,5.5,51.18,0.15,syndra,1346457600.0,nochange
1394525331.352,46.07,49.5,0.29,caitlyn,1293840000.0,nochange
1394525331.352,2.09,53.49,0.15,talon,1312156800.0,nochange
1394525331.352,1.56,47.45,,taric,1249084800.0,nochange
1394525331.352,4.59,54.27,0.44,teemo,1233446400.0,nochange
1394525331.352,60.62,50.99,13.41,thresh,1356998400.0,nerf
1394525331.352,7.17,46.44,0.15,tristana,1233446400.0,buff
1394525331.352,3.62,51.99,,ashe,1233446400.0,nochange
1394525331.352,1.58,53.1,0.29,brand,1301616000.0,nochange
1394525331.352,6.3,53.91,0.15,tryndamere,1241136000.0,nochange
1394525331.352,11.07,50.01,0.15,blitzcrank,1251763200.0,nochange
1394525331.352,1.92,48.51,0.15,twistedfate,1233446400.0,buff
1394525331.352,2.04,50.76,,twitch,1241136000.0,nochange
1394525331.352,3.58,48.56,0.15,udyr,1259625600.0,nochange
1394525331.352,0.25,40.0,,urgot,1280620800.0,nochange
1394525331.352,3.09,48.19,,varus,1335830400.0,nochange
1394525331.352,8.78,49.09,0.87,trundle,1291161600.0,nochange
1394525331.352,1.06,43.35,,nautilus,1328054400.0,buff
1394525331.352,11.24,49.12,0.58,riven,1314835200.0,nochange
1394525331.352,1.11,51.18,,malzahar,1275350400.0,nochange
1394525331.352,4.53,49.05,,lux,1285891200.0,nochange
1394525331.352,0.62,45.22,,galio,1280620800.0,nochange
1394525331.352,20.52,47.08,16.47,gragas,1264982400.0,nochange
1394525331.352,2.71,49.56,0.29,lissandra,1364774400.0,nochange
